País;Ano;Carvão per capita (kWh);Petróleo e derivados per capita (kWh);Gás per capita (kWh);Nuclear per capita (kWh);Renováveis per capita (kWh)
Argentina;1960;381.552;12420.8;1860.771;0;153.558
Argentina;1961;309.941;12620.526;1985.293;0;153.251
Argentina;1962;343.442;12735.081;2045.633;0;154.653
Argentina;1963;328.857;12809.391;2244.433;0;179.604
Argentina;1964;387.887;13095.686;2202.822;0;158.746
Argentina;1965;490.885;11658.27;2451.556;0;180.877
Argentina;1966;423.649;12221.488;2605.275;0;176.792
Argentina;1967;350.92;11973.026;2876.891;0;169.462
Argentina;1968;379.005;11862.764;3221.037;0;331.917
Argentina;1969;464.449;11668.13;3354.939;113.021;548.524
Argentina;1970;445.026;10874.201;3383.818;270.306;558.546
Argentina;1971;443.279;11048.887;3750.829;272.017;530.18
Argentina;1972;412.901;11463.436;3859.16;170.555;600.744
Argentina;1973;495.887;10985.142;3697.948;297.271;795.732
Argentina;1974;455.086;11643.168;3745.419;272.206;1077.903
Argentina;1975;399.498;10645.704;4019.472;233.004;1507.954
Argentina;1976;372.655;9829.948;4135.232;276.028;1439.444
Argentina;1977;370.42;9203.775;4623.63;180.397;1697.178
Argentina;1978;330.803;9184.368;4892.074;323.229;1748.474
Argentina;1979;241.625;8595.351;5124.605;433.522;1857.016
Argentina;1980;350.791;7860.676;5152.764;530.068;1897.985
Argentina;1981;394.455;8134.449;5480.401;516.757;1900.989
Argentina;1982;430.974;8547.646;5398.206;575.876;1945.507
Argentina;1983;434.885;8473.096;6209.228;508.56;1318.591
Argentina;1984;463.566;7662.06;6425.23;435.398;1120.249
Argentina;1985;376.047;7049.951;6049.313;620.045;1522.307
Argentina;1986;326.31;7263.124;6073.903;651.303;1362.144
Argentina;1987;362.911;7536.484;6479.603;586.635;1638.621
Argentina;1988;237.562;7293.282;6753.378;633.728;1926.162
Argentina;1989;205.365;7600.64;6855.033;664.92;2258.611
Argentina;1990;212.878;7451.741;7536.37;563.561;2269.726
Argentina;1991;220.358;7370.912;8545.091;587.847;2045.507
Argentina;1992;171.85;7720.314;7783.838;620.177;2574.232
Argentina;1993;228.415;7854.832;8227.444;574.066;2499.789
Argentina;1994;271.078;7868.985;8629.702;541.278;2023.499
Argentina;1995;203.756;7184.495;8759.44;465.364;2566.684
Argentina;1996;165.171;6580.576;8111.208;522.621;3106.01
Argentina;1997;121.711;6178.466;7812.165;423.569;3022.722
Argentina;1998;146.867;6233.54;8829.341;541.183;2800.913
Argentina;1999;247.32;6616.618;9562.814;553.4;2494.863
Argentina;2000;281.842;6858.788;10101.846;475.344;2726.46
Argentina;2001;252.58;7160.928;10346.312;525.273;2972.56
Argentina;2002;361.865;7906.042;10763.004;485.543;2530.308
Argentina;2003;437.026;7910.445;10775.596;486.983;2452.767
Argentina;2004;237.655;7486.095;10334.169;530.294;2645.306
Argentina;2005;329.425;8024.262;10291.399;459.683;2586.495
Argentina;2006;353.787;8228.508;10609.704;401.384;2487.904
Argentina;2007;327.365;8651.78;10936.185;394.921;2298.096
